@id	@type	name	domainIncludes	rangeIncludes	url	isPartOf	owl:cardinality	marginality	sameAs.@id	@type	sameAs.name	sameAs.domainIncludes	sameAs.rangeIncludes	sameAs.url	sameAs.isPartOf	sameAs.owl:cardinality	sameAs.marginality			
schema:encodingFormat	schema:Property	encodingFormat	schema:CreativeWork	"schema:Text,schema:URL"	https://schema.org/encodingFormat	schemaOriginObject:1	unspecified	unspecified	dct:format	schema:Property	format	schema:CreativeWork	"schema:Text,schema:URL"	http://purl.org/dc/terms/format	schemaUsageObject:1	unspecified	recommended			
schema:fileFormat (superseded by encordingFormat)	schema:Property	fileFormat (superseded by encordingFormat)	schema:CreativeWork	"schema:Text,schema:URL"	https://schema.org/fileFormat (superseded by encordingFormat)	schemaOriginObject:1	unspecified	unspecified	dcat:mediaType	schema:Property	mediaType	schema:CreativeWork	"schema:Text,schema:URL"	http://www.w3.org/ns/dcat#mediaType	schemaUsageObject:1	unspecified	optional			
schema:contentURL	schema:Property	contentURL	schema:MediaObject	schema:URL	https://schema.org/contentURL	schemaOriginObject:1	unspecified	unspecified	dcat:accessURL	schema:Property	accessURL	schema:MediaObject	schema:URL	http://www.w3.org/ns/dcat#accessURL	schemaUsageObject:1	unspecified	minimal or required			
schema:contentURL	schema:Property	contentURL	schema:MediaObject	schema:URL	https://schema.org/contentURL	schemaOriginObject:1	unspecified	unspecified	dcat:downloadURL	schema:Property	downloadURL	schema:MediaObject	schema:URL	http://www.w3.org/ns/dcat#downloadURL	schemaUsageObject:1	unspecified	optional			
schema:contentSize	schema:Property	contentSize	schema:MediaObject	"schema:Text,schema:URL"	https://schema.org/contentSize	schemaOriginObject:1	unspecified	unspecified	dct:byteSize	schema:Property	byteSize	schema:MediaObject	"schema:Text,schema:URL"	http://purl.org/dc/terms/byteSize	schemaUsageObject:1	unspecified	optional			
schema:repeatFrequency	schema:Property	repeatFrequency	schema:Thing:Schedule	"schema:Duration,schema:Text"	https://schema.org/repeatFrequency	schemaOriginObject:1	unspecified	unspecified	dct:accrualPeriodicity	schema:Property	accrualPeriodicity	schema:Thing:Schedule	"schema:Duration,schema:Text"	http://purl.org/dc/terms/accrualPeriodicity	schemaUsageObject:1	unspecified	unspecified			
schema:funder	schema:Property	funder	schema:CreativeWork	"schema:Organization,schema:Person"	https://schema.org/funder	schemaOriginObject:1	unspecified	unspecified	dct:contributor	schema:Property	contributor	schema:CreativeWork	"schema:Organization,schema:Person"	http://purl.org/dc/terms/contributor	schemaUsageObject:1	unspecified	unspecified			
schema:contributor	schema:Property	contributor	schema:CreativeWork	"schema:Organization,schema:Person"	https://schema.org/contributor	schemaOriginObject:1	unspecified	unspecified	dct:contributor	schema:Property	contributor	schema:CreativeWork	"schema:Organization,schema:Person"	http://purl.org/dc/terms/contributor	schemaUsageObject:1	unspecified	unspecified			
schema:producer	schema:Property	producer	schema:CreativeWork	"schema:Organization,schema:Person"	https://schema.org/producer	schemaOriginObject:1	unspecified	unspecified	dct:contributor	schema:Property	contributor	schema:CreativeWork	"schema:Organization,schema:Person"	http://purl.org/dc/terms/contributor	schemaUsageObject:1	unspecified	unspecified			
schema:copyrightYear	schema:Property	copyrightYear	schema:CreativeWork	schema:Number	https://schema.org/copyrightYear	schemaOriginObject:1	unspecified	unspecified	dct:dateCopyrighted	schema:Property	contributor	schema:CreativeWork	schema:Number	http://purl.org/dc/terms/dateCopyrighted	schemaUsageObject:1	unspecified	unspecified			
schema:conditionsOfAccess	schema:Property	conditionsOfAccess	schema:CreativeWork	schema:Text	https://schema.org/conditionsOfAccess	schemaOriginObject:1	unspecified	unspecified	dct:accessRights	schema:Property	accessRights	schema:CreativeWork	schema:Text	http://purl.org/dc/terms/accessRights	schemaUsageObject:1	unspecified	optional			
																				
