@id	name	domainIncludes	rangeIncludes	url	isPartOf	owl:cardinality	marginality	sameAs.@id	sameAs.name	sameAs.domainIncludes	sameAs.rangeIncludes	sameAs.url	sameAs.isPartOf	sameAs.owl:cardinality	sameAs.marginality
schema:version	version	schema:CreativeWork	"schema:Number,schema:Text"	https://schema.org/version	schemaOriginObject:1	unspecified	unspecified	google:version	version	schema:CreativeWork	"schema:Number,schema:Text"	https://schema.org/version	schemaUsageObjects:17	unspecified	recommended
schema:temporalCoverage	temporalCoverage	schema:CreativeWork	schema:Text	https://schema.org/temporalCoverage	schemaOriginObject:1	unspecified	unspecified	google:temporalCoverage	temporalCoverage	schema:CreativeWork	schema:Text	https://schema.org/temporalCoverage	schemaUsageObjects:17	unspecified	recommended
schema:spatialCoverage	spatialCoverage	schema:CreativeWork	"schema:Text,schema:Place"	https://schema.org/spatialCoverage	schemaOriginObject:1	unspecified	unspecified	google:spatialCoverage	spatialCoverage	schema:CreativeWork	"schema:Text,schema:Place"	https://schema.org/spatialCoverage	schemaUsageObjects:17	unspecified	recommended
schema:measurementTechnique	measurementTechnique	"schema:Dataset
schema:DataCatalog
schema.DataDowload"	"schema:Text,schema:URL"	https://schema.org/measurementTechnique	schemaOriginObject:1	unspecified	unspecified	google:measurementTechnique	measurementTechnique	"schema:Dataset
schema:DataCatalog
schema.DataDowload"	"schema:Text,schema:URL"	https://schema.org/measurementTechnique	schemaUsageObjects:17	unspecified	recommended
schema:variableMeasured	variableMeasured	schema:Dataset	"schema:PropertyValue,schema:Text"	https://schema.org/variableMeasured	schemaOriginObject:1	unspecified	unspecified	google:variableMeasured	variableMeasured	schema:Dataset	"schema:PropertyValue,schema:Text"	https://schema.org/variableMeasured	schemaUsageObjects:17	unspecified	recommended
schema:funder	funder	schema:CreativeWork	Organization or Person	https://schema.org/funder	schemaOriginObject:1	unspecified	unspecified	google:funder	funder	schema:CreativeWork	Organization or Person	https://schema.org/funder	schemaUsageObjects:17	unspecified	recommended
schema:distribution	distribution	Schema:Dataset	schema:DataDownload	https://schema.org/distribution	schemaOriginObject:1	unspecified	unspecified	google:distribution	distribution	Schema:Dataset	schema:DataDownload	https://schema.org/distribution	schemaUsageObjects:17	unspecified	recommended
schema:contentUrl	distribution.contentUrl	Schema:DataDownload	schema:URL	https://schema.org/contentUrl	schemaOriginObject:1	unspecified	unspecified	google:contentUrl	distribution.contentUrl	Schema:DataDownload	schema:URL	https://schema.org/contentUrl	schemaUsageObjects:18	unspecified	required
schema:encodingFormat	distribution.encodingFormat	Schema:DataDownload	"schema:Text,schema:URL"	https://schema.org/encodingFormat	schemaOriginObject:1	unspecified	unspecified	google:encodingFormat	distribution.encodingFormat	Schema:DataDownload	"schema:Text,schema:URL"	https://schema.org/encodingFormat	schemaUsageObjects:18	unspecified	recommended
schema:includedInDataCatalog	includedInDataCatalog	schema:Dataset	schema:DataCatalog	https://schema.org/includedInDataCatalog	schemaOriginObject:1	unspecified	unspecified	google:includedInDataCatalog	includedInDataCatalog	schema:Dataset	schema:DataCatalog	https://schema.org/includedInDataCatalog	schemaUsageObjects:17	unspecified	recommended
